book,desk,rug,bed,wall,cabinet,light,mat1,drawer,mat2,gasrange,icebox,shelf,window
박스,박스,낡고 작은 러그,박스,물이 새는 벽지,상자,깨진전구,펼쳐진 상자,박스,펼쳐진 상자,가스 버너,스티로폼,낡은 선반,반쪽 창문
A4용지,플라스틱상,작은 러그,낡은 이불,얼룩진 벽지,낡은 서랍장,금이 간 전구,찢어진 천,낡고 좁은 장,찢어진 천,낡은 렌지,아이스박스,투박한 선반,금이 간 창문
색종이,낡은 테이블,낡은 중간 러그,평범한 이불,평범한 벽지,낡은 플라스틱 서랍장,낡은 전등,온전한 천,좁은 장,온전한 천,평범한 렌지,미니냉장고,낡고 넓은 선반,보수한 창문
한지,원형 테이블,중간 러그,낡은 매트리스,포근한 벽지,플라스틱 서랍장,고장난 전등,투박한 매트,낡고 넓은 장,투박한 매트,투박한 가스렌지,2단 냉장고,튼튼한 선반,얇은 창문
스케치북,플라스틱 탁자,완전한 러그,평범한 매트리스,완전한 벽지,낡은 나무 서랍장,안정된 전등,평범한 매트,넓은 원목 장,평범한 매트,평범한 가스렌지,3단 냉장고,완전한 선반,안정된 창문
공책,작은 책상,완전한 러그,깨끗한 침구,완전한 벽지,평범한 서랍장,좋은 전등,완전한 매트,완전한 장,완전한 매트,완전한 렌지,4단 냉장고,완전한 선반,튼튼한 창문
종합장,완전한 책상,완전한 러그,낡은 침대,완전한 벽지,원목 서랍장,완전한 전등,완전한 매트,완전한 장,완전한 매트,완전한 렌지,5단 냉장고,완전한 선반,시트지 창문
스티커북,완전한 책상,완전한 러그,평범한 침대,완전한 벽지,완전한 서랍장,완전한 전등,완전한 매트,완전한 장,완전한 매트,완전한 렌지,6단 냉장고,완전한 선반,커튼 반쪽 창문
낡은 잡지,완전한 책상,완전한 러그,완전한 침대,완전한 벽지,완전한 서랍장,완전한 전등,완전한 매트,완전한 장,완전한 매트,완전한 렌지,7단 냉장고,완전한 선반,커튼 달린 창문
낡은 사전,완전한 책상,완전한 러그,완전한 침대,완전한 벽지,완전한 서랍장,완전한 전등,완전한 매트,완전한 장,완전한 매트,완전한 렌지,8단 냉장고,완전한 선반,완전한 창문
동화책,완전한 책상,완전한 러그,완전한 침대,완전한 벽지,완전한 서랍장,완전한 전등,완전한 매트,완전한 장,완전한 매트,완전한 렌지,9단 냉장고,완전한 선반,완전한 창문
위인전,완전한 책상,완전한 러그,완전한 침대,완전한 벽지,,,,,,,,,완전한 창문
만화책,완전한 책상,완전한 러그,완전한 침대,완전한 벽지,,,,,,,,,완전한 창문
심리서적,,,,,,,,,,,,,
단편 소설책,,,,,,,,,,,,,
책장,,,,,,,,,,,,,
완전한 책장,,,,,,,,,,,,,
완전한 책장,,,,,,,,,,,,,
완전한 책장,,,,,,,,,,,,,
완전한 책장,,,,,,,,,,,,,
